model_name,criterion,optimizer,learning_rate,num_epochs,input_size,hidden_layers,qtd_hidden_layers,activation_function,accuracy,average_loss
MLP,CrossEntropyLoss,Adam,0.01,200,16,[6],1,ReLU,0.8927653323540213,0.29583805799484253
MLP,CrossEntropyLoss,Adam,0.01,200,16,[8],1,ReLU,0.9140653690782226,0.23178493976593018
MLP,CrossEntropyLoss,Adam,0.01,200,16,[10],1,ReLU,0.9181050312155711,0.2265436202287674
MLP,CrossEntropyLoss,Adam,0.01,200,16,[12],1,ReLU,0.914799853103195,0.22786255925893784
MLP,CrossEntropyLoss,Adam,0.01,200,16,[14],1,ReLU,0.9188395152405435,0.2234942391514778
MLP,CrossEntropyLoss,Adam,0.01,200,16,[16],1,ReLU,0.9173705471905986,0.22451818734407425
MLP,CrossEntropyLoss,Adam,0.01,200,16,[18],1,ReLU,0.914799853103195,0.23081275820732117
MLP,CrossEntropyLoss,Adam,0.01,200,16,[20],1,ReLU,0.9181050312155711,0.21851903200149536
MLP,CrossEntropyLoss,Adam,0.1,200,16,[2],1,ReLU,0.6408373117884686,0.8304624855518341
MLP,CrossEntropyLoss,Adam,0.1,200,16,[4],1,ReLU,0.9136981270657363,0.23797164857387543
MLP,CrossEntropyLoss,Adam,0.1,200,16,[6],1,ReLU,0.8946015424164524,0.2907543033361435
MLP,CrossEntropyLoss,Adam,0.1,200,16,[8],1,ReLU,0.9173705471905986,0.22403863072395325
MLP,CrossEntropyLoss,Adam,0.1,200,16,[10],1,ReLU,0.9111274329783328,0.23862794041633606
MLP,CrossEntropyLoss,Adam,0.1,200,16,[12],1,ReLU,0.9206757253029747,0.2148701697587967
MLP,CrossEntropyLoss,Adam,0.1,200,16,[14],1,ReLU,0.9085567388909291,0.2474786564707756
MLP,CrossEntropyLoss,Adam,0.1,200,16,[16],1,ReLU,0.9074550128534704,0.25389399379491806
MLP,CrossEntropyLoss,Adam,0.1,200,16,[18],1,ReLU,0.9170033051781123,0.20902179926633835
MLP,CrossEntropyLoss,Adam,0.1,200,16,[20],1,ReLU,0.9078222548659567,0.24026837199926376
MLP,CrossEntropyLoss,Adam,0.15,200,16,[2],1,ReLU,0.6290855673889093,0.7739629447460175
MLP,CrossEntropyLoss,Adam,0.15,200,16,[4],1,ReLU,0.910025706940874,0.23400060832500458
MLP,CrossEntropyLoss,Adam,0.15,200,16,[6],1,ReLU,0.906720528828498,0.26125896722078323
MLP,CrossEntropyLoss,Adam,0.15,200,16,[8],1,ReLU,0.9122291590157914,0.23280849307775497
MLP,CrossEntropyLoss,Adam,0.15,200,16,[10],1,ReLU,0.9096584649283878,0.24792539328336716
MLP,CrossEntropyLoss,Adam,0.15,200,16,[12],1,ReLU,0.9063532868160118,0.2524377554655075
MLP,CrossEntropyLoss,Adam,0.15,200,16,[14],1,ReLU,0.9133308850532501,0.24279988557100296
MLP,CrossEntropyLoss,Adam,0.15,200,16,[16],1,ReLU,0.9107601909658465,0.23332519829273224
MLP,CrossEntropyLoss,Adam,0.15,200,16,[18],1,ReLU,0.9181050312155711,0.21573453396558762
MLP,CrossEntropyLoss,Adam,0.15,200,16,[20],1,ReLU,0.9151670951156813,0.24038681387901306
MLP,CrossEntropyLoss,Adam,0.001,300,16,[2],1,ReLU,0.49320602276900477,1.1847241520881653
MLP,CrossEntropyLoss,Adam,0.001,300,16,[4],1,ReLU,0.9026808666911494,0.3056322932243347
MLP,CrossEntropyLoss,Adam,0.001,300,16,[6],1,ReLU,0.892398090341535,0.33177630603313446
MLP,CrossEntropyLoss,Adam,0.001,300,16,[8],1,ReLU,0.8905618802791039,0.31729473173618317
MLP,CrossEntropyLoss,Adam,0.001,300,16,[10],1,ReLU,0.9041498347410943,0.2726203501224518
MLP,CrossEntropyLoss,Adam,0.001,300,16,[12],1,ReLU,0.8942343004039662,0.3017222732305527
MLP,CrossEntropyLoss,Adam,0.001,300,16,[14],1,ReLU,0.9078222548659567,0.26978281885385513
MLP,CrossEntropyLoss,Adam,0.001,300,16,[16],1,ReLU,0.9107601909658465,0.26238731294870377
MLP,CrossEntropyLoss,Adam,0.001,300,16,[18],1,ReLU,0.9111274329783328,0.2631632685661316
MLP,CrossEntropyLoss,Adam,0.001,300,16,[20],1,ReLU,0.9041498347410943,0.27761712670326233
MLP,CrossEntropyLoss,Adam,0.01,300,16,[2],1,ReLU,0.6614028644876974,0.8547624349594116
MLP,CrossEntropyLoss,Adam,0.01,300,16,[4],1,ReLU,0.9170033051781123,0.22696621716022491
MLP,CrossEntropyLoss,Adam,0.01,300,16,[6],1,ReLU,0.9151670951156813,0.22787511348724365
MLP,CrossEntropyLoss,Adam,0.01,300,16,[8],1,ReLU,0.9140653690782226,0.22785413265228271
MLP,CrossEntropyLoss,Adam,0.01,300,16,[10],1,ReLU,0.919573999265516,0.21789424121379852
